Dataset,Model,Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Layer,Activation Ratio,Neuron Count,Active Count
FashionMNIST,784=>256=>128=>64=>10,16,0.9264833333333333,0.8864,0.19271447859815696,0.3598511275022652,3,0.3987,64,25.52
FashionMNIST,784=>256=>128=>64=>10,16,0.9264833333333333,0.8864,0.19271447859815696,0.3598511275022652,4,0.1834,10,1.83
FashionMNIST,784=>256=>128=>64=>10,17,0.92925,0.8907,0.18625437852336782,0.35779844974256625,1,0.1577,256,40.38
FashionMNIST,784=>256=>128=>64=>10,17,0.92925,0.8907,0.18625437852336782,0.35779844974256625,2,0.2948,128,37.73
FashionMNIST,784=>256=>128=>64=>10,17,0.92925,0.8907,0.18625437852336782,0.35779844974256625,3,0.3911,64,25.03
FashionMNIST,784=>256=>128=>64=>10,17,0.92925,0.8907,0.18625437852336782,0.35779844974256625,4,0.1851,10,1.85
FashionMNIST,784=>256=>128=>64=>10,18,0.93145,0.8876,0.17701527689978766,0.3704717519936288,1,0.1594,256,40.8
FashionMNIST,784=>256=>128=>64=>10,18,0.93145,0.8876,0.17701527689978766,0.3704717519936288,2,0.29,128,37.12
FashionMNIST,784=>256=>128=>64=>10,18,0.93145,0.8876,0.17701527689978766,0.3704717519936288,3,0.3887,64,24.88
FashionMNIST,784=>256=>128=>64=>10,18,0.93145,0.8876,0.17701527689978766,0.3704717519936288,4,0.1816,10,1.82
FashionMNIST,784=>256=>128=>64=>10,19,0.9330166666666667,0.8856,0.17445007815504315,0.3886737468990551,1,0.1556,256,39.83
FashionMNIST,784=>256=>128=>64=>10,19,0.9330166666666667,0.8856,0.17445007815504315,0.3886737468990551,2,0.288,128,36.86
FashionMNIST,784=>256=>128=>64=>10,19,0.9330166666666667,0.8856,0.17445007815504315,0.3886737468990551,3,0.386,64,24.71
FashionMNIST,784=>256=>128=>64=>10,19,0.9330166666666667,0.8856,0.17445007815504315,0.3886737468990551,4,0.1786,10,1.79
FashionMNIST,784=>256=>128=>64=>10,20,0.9360333333333334,0.8925,0.16714246099246843,0.36117629976765175,1,0.1524,256,39.02
FashionMNIST,784=>256=>128=>64=>10,20,0.9360333333333334,0.8925,0.16714246099246843,0.36117629976765175,2,0.2834,128,36.28
FashionMNIST,784=>256=>128=>64=>10,20,0.9360333333333334,0.8925,0.16714246099246843,0.36117629976765175,3,0.3813,64,24.4
FashionMNIST,784=>256=>128=>64=>10,20,0.9360333333333334,0.8925,0.16714246099246843,0.36117629976765175,4,0.1732,10,1.73
FashionMNIST,784=>128=>64=>10,1,0.8023666666666667,0.8418,0.5592284995927486,0.4445195602383583,1,0.6184,128,79.16
FashionMNIST,784=>128=>64=>10,1,0.8023666666666667,0.8418,0.5592284995927486,0.4445195602383583,2,0.6318,64,40.43
FashionMNIST,784=>128=>64=>10,1,0.8023666666666667,0.8418,0.5592284995927486,0.4445195602383583,3,0.4053,10,4.05
FashionMNIST,784=>128=>64=>10,2,0.8593666666666666,0.8516,0.3864051923552937,0.40826838449308067,1,0.5118,128,65.51
FashionMNIST,784=>128=>64=>10,2,0.8593666666666666,0.8516,0.3864051923552937,0.40826838449308067,2,0.6057,64,38.76
FashionMNIST,784=>128=>64=>10,2,0.8593666666666666,0.8516,0.3864051923552937,0.40826838449308067,3,0.3119,10,3.12
FashionMNIST,784=>128=>64=>10,3,0.8740333333333333,0.8611,0.34557997100928955,0.3770994132111786,1,0.4603,128,58.92
FashionMNIST,784=>128=>64=>10,3,0.8740333333333333,0.8611,0.34557997100928955,0.3770994132111786,2,0.5916,64,37.86
FashionMNIST,784=>128=>64=>10,3,0.8740333333333333,0.8611,0.34557997100928955,0.3770994132111786,3,0.27,10,2.7
FashionMNIST,784=>128=>64=>10,4,0.88195,0.8686,0.32197935373258235,0.3616044941791304,1,0.4173,128,53.41
FashionMNIST,784=>128=>64=>10,4,0.88195,0.8686,0.32197935373258235,0.3616044941791304,2,0.5657,64,36.21
FashionMNIST,784=>128=>64=>10,4,0.88195,0.8686,0.32197935373258235,0.3616044941791304,3,0.2573,10,2.57
FashionMNIST,784=>128=>64=>10,5,0.8881833333333333,0.8776,0.30421222420707184,0.33763174361484066,1,0.393,128,50.31
FashionMNIST,784=>128=>64=>10,5,0.8881833333333333,0.8776,0.30421222420707184,0.33763174361484066,2,0.5507,64,35.24
FashionMNIST,784=>128=>64=>10,5,0.8881833333333333,0.8776,0.30421222420707184,0.33763174361484066,3,0.244,10,2.44
FashionMNIST,784=>128=>64=>10,6,0.8923666666666666,0.8806,0.28902242370029246,0.3389571174314827,1,0.3797,128,48.61
